date_date,trt_unit,sales
2023-01-01,535,11358.96
2023-01-01,770,21816.11
2023-01-01,659,12655.27
2023-01-01,693,3802.2
2023-01-01,515,7818.16
2023-01-01,539,22040.74174
2023-01-01,622,6589.11
2023-01-01,-1,171610.8214
2023-01-01,757,3538.08
2023-01-01,532,7682.88
2023-01-01,862,17783.63004
2023-01-01,789,6070.8499
2023-01-01,517,11688.24
2023-01-01,524,46202.8499
2023-01-01,866,5585.11
2023-01-01,765,2818.56
2023-01-01,640,2812.07
2023-01-01,533,9588.67
2023-01-01,618,41279.84178
2023-01-01,556,6146.76
2023-01-01,561,6882.51
2023-01-01,609,11371.99
2023-01-01,505,19862.04
2023-01-01,630,8060.79
2023-01-01,512,12773.15004
2023-01-01,534,24967.2399
2023-01-01,671,6468.98
2023-01-01,544,4658.76
2023-01-01,563,6524.52
2023-01-01,881,3178.08
2023-01-01,518,5841.22
2023-01-01,500,3849.07
2023-01-01,669,3064.68
2023-01-01,528,26921.5
2023-01-01,790,5754.75
2023-01-01,514,5631.12
2023-01-01,807,48892.18007
2023-01-01,506,32179.11
2023-01-01,1,688700.6639
2023-01-01,501,109996.0066
2023-01-02,622,9803.53
2023-01-02,807,63984.94857
2023-01-02,534,35725.99456
2023-01-02,790,11910.48
2023-01-02,518,9280.83
2023-01-02,524,72926.29707
2023-01-02,563,12018.24
2023-01-02,544,16134.67
2023-01-02,630,9267.91
2023-01-02,505,25834.88146
2023-01-02,1,1058458.917
2023-01-02,609,16049.5
2023-01-02,539,35025.78535
2023-01-02,757,5991.6
2023-01-02,515,10779.55
2023-01-02,561,13549.63
2023-01-02,693,4935.24
2023-01-02,500,6236.52
2023-01-02,556,9605.3
2023-01-02,528,40536.0614
2023-01-02,506,46261.68731
2023-01-02,517,22358.34123
2023-01-02,866,9685.56
2023-01-02,514,5277.90204
2023-01-02,532,8498.16
2023-01-02,770,28074.44
2023-01-02,533,15578.79
2023-01-02,789,6901.88568
2023-01-02,618,55635.08746
2023-01-02,501,182816.0352
2023-01-02,-1,247702.941
2023-01-02,535,12552.81292
2023-01-02,512,17535.4499
2023-01-02,881,6446.76
2023-01-02,671,5767.11
2023-01-02,659,20390.74
2023-01-02,765,5888.38558
2023-01-02,669,7542.590184
2023-01-02,640,9619.44
2023-01-02,862,29206.54
2023-01-03,506,76058.68408
2023-01-03,514,10740.6
2023-01-03,659,31822.79
2023-01-03,671,10305.55
2023-01-03,524,90128.6225
2023-01-03,501,241030.0712
2023-01-03,539,49538.80058
2023-01-03,534,38578.41408
2023-01-03,515,17404.11
2023-01-03,630,14554.87
2023-01-03,609,23213.07
2023-01-03,807,102999.252
2023-01-03,528,79464.82868
2023-01-03,622,9049.44
2023-01-03,618,82118.39534
2023-01-03,532,8738.006958
2023-01-03,640,12959.23
2023-01-03,866,9774.7
2023-01-03,518,10896.96
2023-01-03,544,13607.52
2023-01-03,862,35811.43
2023-01-03,535,18394.94018
2023-01-03,789,9262.020184
2023-01-03,-1,372867.1231
2023-01-03,556,13356.6
2023-01-03,500,7088.76
2023-01-03,563,12069.4999
2023-01-03,693,7979.6625
2023-01-03,770,44966.68282
2023-01-03,881,14311.44
2023-01-03,1,1501193.487
2023-01-03,790,10808.35
2023-01-03,669,7388.16
2023-01-03,561,19244.8848
2023-01-03,512,26763.72
2023-01-03,517,36820.56
2023-01-03,757,11647.8
2023-01-03,765,6446.64
2023-01-03,505,46723.11
2023-01-03,533,20560.02
2023-01-04,659,31951.26626
2023-01-04,561,20204.88
2023-01-04,765,6736.55004
2023-01-04,-1,428178.8717
2023-01-04,807,100699.5847
2023-01-04,556,11090.59
2023-01-04,1,1645303.886
2023-01-04,669,9273.72
2023-01-04,866,10524.72
2023-01-04,622,13356.2599
2023-01-04,789,13036.30204
2023-01-04,524,115469.8884
2023-01-04,630,11473.08
2023-01-04,500,8623.27
2023-01-04,515,16234.32
2023-01-04,862,51228.68
2023-01-04,544,18521.47792
2023-01-04,693,8282.04
2023-01-04,518,13233.99
2023-01-04,535,27456.534
2023-01-04,770,58446.93285
2023-01-04,609,27718.3399
2023-01-04,506,78294.09784
2023-01-04,757,9803.3219
2023-01-04,563,15502.8
2023-01-04,790,16624.71
2023-01-04,532,13014.24
2023-01-04,512,30612.78004
2023-01-04,514,10450.03418
2023-01-04,640,9980.7
2023-01-04,505,42522.0899
2023-01-04,881,8933.630184
2023-01-04,539,52384.99995
2023-01-04,501,274990.2313
2023-01-04,533,21828.63
2023-01-04,517,49834.17
2023-01-04,671,11136.24
2023-01-04,618,96044.37156
2023-01-04,534,45171.83932
2023-01-04,528,80321.18142
2023-01-05,517,32405.59
2023-01-05,-1,417137.039
2023-01-05,881,14032.23
2023-01-05,770,43795.56408
2023-01-05,862,69314.54346
2023-01-05,514,8845.68
2023-01-05,790,13923.15
2023-01-05,789,11411.23
2023-01-05,866,9119.67
2023-01-05,1,1693824.794
2023-01-05,609,27995.66
2023-01-05,534,44855.52408
2023-01-05,630,17004.31
2023-01-05,500,9218.04
2023-01-05,512,36944.01
2023-01-05,669,10542.96
2023-01-05,622,14407.92
2023-01-05,524,111359.6357
2023-01-05,505,39956.38
2023-01-05,518,14139.74
2023-01-05,539,51922.87552
2023-01-05,561,24130.23
2023-01-05,671,10759.08
2023-01-05,544,20693.29
2023-01-05,693,9698.04
2023-01-05,528,72752.34889
2023-01-05,765,10027.44
2023-01-05,532,11227.2
2023-01-05,563,13341.39
2023-01-05,515,20165.8407
2023-01-05,618,94107.91204
2023-01-05,533,25145.59
2023-01-05,506,86184.58586
2023-01-05,757,18720.0199
2023-01-05,807,116884.1903
2023-01-05,640,12636.98
2023-01-05,501,288964.3119
2023-01-05,556,18045.23
2023-01-05,659,34902.33018
2023-01-05,535,22633.5799
2023-01-06,532,14753.64
2023-01-06,501,316829.5128
2023-01-06,757,12240
2023-01-06,659,34672.98
2023-01-06,514,11954.06018
2023-01-06,669,10641.55
2023-01-06,640,13490.84
2023-01-06,517,37962.24
2023-01-06,539,61089.17
2023-01-06,609,34596.57
2023-01-06,618,95858.75818
2023-01-06,862,41361.72
2023-01-06,789,10339.21768
2023-01-06,-1,405037.6627
2023-01-06,512,32092.46
2023-01-06,533,22315.06
2023-01-06,671,11408.71
2023-01-06,515,24965.9
2023-01-06,528,77055.93421
2023-01-06,765,9051.47004
2023-01-06,505,42856.77
2023-01-06,518,11837.35
2023-01-06,881,9404.04
2023-01-06,807,99336.44921
2023-01-06,524,108160.7725
2023-01-06,500,9287.67
2023-01-06,866,14053.22466
2023-01-06,561,22070.27
2023-01-06,556,15383.4
2023-01-06,544,19386.61
2023-01-06,506,79835.4117
2023-01-06,535,24331.06222
2023-01-06,630,15507.15
2023-01-06,534,54204.72
2023-01-06,1,1644977.122
2023-01-06,770,48050.98
2023-01-06,693,8480.04
2023-01-06,790,16673.35552
2023-01-06,563,17344.44
2023-01-06,622,26198.83
2023-01-07,618,65909.2251
2023-01-07,556,10885.82
2023-01-07,505,30098.47
2023-01-07,770,33736.1
2023-01-07,671,9756.07
2023-01-07,512,23900.58
2023-01-07,563,9095.42
2023-01-07,807,82786.76234
2023-01-07,881,8820.39
2023-01-07,544,14656.9
2023-01-07,528,48449.34034
2023-01-07,622,12657.59018
2023-01-07,866,7175
2023-01-07,757,6524.76
2023-01-07,561,19772.28
2023-01-07,1,1190595.609
2023-01-07,765,5673.72
2023-01-07,789,9047.43
2023-01-07,539,45771.55629
2023-01-07,501,184220.4095
2023-01-07,669,5625.36
2023-01-07,524,92175.07278
2023-01-07,518,12942.12
2023-01-07,609,25653.22
2023-01-07,514,6746.52
2023-01-07,535,17646.2333
2023-01-07,517,29590.94
2023-01-07,659,23853.0952
2023-01-07,533,15757.56
2023-01-07,500,7898.04
2023-01-07,862,31874.47
2023-01-07,630,11083.99
2023-01-07,506,61015.6899
2023-01-07,515,16141.15
2023-01-07,534,38648.28142
2023-01-07,693,4785.6
2023-01-07,640,10059.19
2023-01-07,532,11118.6
2023-01-07,790,12162.84
2023-01-07,-1,292732.627
2023-01-08,609,14632.3385
2023-01-08,-1,237140.9585
2023-01-08,500,8513.91
2023-01-08,501,152101.3572
2023-01-08,618,55524.87
2023-01-08,630,12788.1
2023-01-08,789,6944.4
2023-01-08,640,9868.42
2023-01-08,533,14139.67
2023-01-08,563,8638.39
2023-01-08,539,37678.1599
2023-01-08,512,20666.72
2023-01-08,534,30884.93
2023-01-08,517,25495.5999
2023-01-08,506,50374.11
2023-01-08,881,7820.4
2023-01-08,807,70951.18551
2023-01-08,505,29894.6451
2023-01-08,659,20967.42
2023-01-08,532,4904.486358
2023-01-08,770,28532.2
2023-01-08,556,8604.03
2023-01-08,518,10447.9752
2023-01-08,790,8930.18
2023-01-08,693,5121
