date_date,ctrl,test
2022-10-01,1357607.722,1295146.084
2022-10-02,1037504.955,1018166.268
2022-10-03,1521650.209,1539260.629
2022-10-04,1798127.634,1727441.548
2022-10-05,1781053.436,1745682.498
2022-10-06,1791761.677,1635899.323
2022-10-07,1688232.409,1659931.542
2022-10-08,1248181.111,1227933.209
2022-10-09,1038765.926,985919.9211
2022-10-10,1479111.556,1415902.183
2022-10-11,1814311.878,1659638.833
2022-10-12,1789740.497,1710972.77
2022-10-13,1856799.622,1824077.714
2022-10-14,1792457.328,1759303.422
2022-10-15,1385068.965,1323894.542
2022-10-16,1024095.628,1046411.503
2022-10-17,1547489.75,1481987.629
2022-10-18,1862083.493,1797719.04
2022-10-19,1882157.796,1755228.198
2022-10-20,1856720.825,1830141.328
2022-10-21,1778276.28,1686658.608
2022-10-22,1283082.521,1264112.676
2022-10-23,1103275.256,1029968.5
2022-10-24,1606389.693,1508587.222
2022-10-25,1932827.838,1869117.255
2022-10-26,1863761.939,1798505.769
2022-10-27,1854394.217,1772617.738
2022-10-28,1803469.489,1706504.421
2022-10-29,1248301.288,1196541.84
2022-10-30,1032519.66,1010366.438
2022-10-31,1589129.034,1546519.993
2022-11-01,1867583.192,1802855.498
2022-11-02,1890673.544,1810407.434
2022-11-03,1817260.34,1799931.544
2022-11-04,1777459.854,1695448.254
2022-11-05,1201376.627,1124977.484
2022-11-06,1077451.456,1024095.133
2022-11-07,1554593.999,1444584.672
2022-11-08,1764171.176,1666680.305
2022-11-09,1752546.067,1636936.784
2022-11-10,1840268.486,1771159.303
2022-11-11,1760560.735,1710374.84
2022-11-12,1267130.933,1174856.978
2022-11-13,1019992,1020427.758
2022-11-14,1677974.96,1610809.816
2022-11-15,2149682.137,2035368.547
2022-11-16,1835156.983,1764211.7
2022-11-17,1803783.447,1733700.121
2022-11-18,1855436.22,1693266.341
2022-11-19,1258634.441,1258378.05
2022-11-20,1144520.684,1116624.758
2022-11-21,1629363.545,1531190.506
2022-11-22,1771347.914,1709581.757
2022-11-23,1658707.83,1587915.436
2022-11-24,1399013.39,1310908.52
2022-11-25,1814956.3,1750374.731
2022-11-26,1260052.533,1203596.986
2022-11-27,1051384.614,1027458.128
2022-11-28,1689180.721,1571824.139
2022-11-29,1868352.836,1750771.419
2022-11-30,1814176.985,1734652.886
2022-12-01,1707481.012,1606331.986
2022-12-02,1377954.113,1325651.26
2022-12-03,1106508.017,1049728.958
2022-12-04,1205341.277,1205490.739
2022-12-05,1469169.98,1385577.085
2022-12-06,1692554.73,1571258.694
2022-12-07,1686885.876,1586409.212
2022-12-08,1712731.8,1639187.118
2022-12-09,1617599.909,1535686.585
2022-12-10,1142905.638,1131856.429
2022-12-11,1014309.835,940509.4227
2022-12-12,1463566.805,1369108.879
2022-12-13,1797772.622,1701535.912
2022-12-14,1725331.335,1669105.018
2022-12-15,1811446.759,1703453.005
2022-12-16,1702223.946,1600456.078
2022-12-17,1241013.483,1144993.636
2022-12-18,990698.1982,949980.1074
2022-12-19,1425818.302,1427871.34
2022-12-20,1728762.84,1605268.39
2022-12-21,1661531.848,1553686.087
2022-12-22,1604927.115,1547538.481
2022-12-23,1540999.238,1385965.138
2022-12-24,1134068.695,1029384.75
2022-12-25,884733.1575,816621.9374
2022-12-26,1064359.664,975758.9051
2022-12-27,1526128.77,1425826.388
2022-12-28,1547180.857,1421742.802
2022-12-29,1546499.838,1540418.67
2022-12-30,1476516.074,1393298.913
2022-12-31,1157012.171,1067344.928
2023-01-01,714863.7463,688700.6639
2023-01-02,1076678.102,1058458.917
2023-01-03,1539749.45,1501193.487
2023-01-04,1735705.099,1645303.886
2023-01-05,1773343.771,1693824.794
2023-01-06,1786103.149,1644977.122
2023-01-07,1256227.945,1190595.609
2023-01-08,1055293.763,1037024.545
2023-01-09,1551650.479,1516394.641
2023-01-10,1837460.911,1762020.244
2023-01-11,1941473.156,1857266.036
2023-01-12,2013581.525,1860529.13
2023-01-13,1953333.034,1882658.718
2023-01-14,1426782.708,1352989.252
2023-01-15,1284585.603,1240092.766
2023-01-16,1555142.924,1534232.456
2023-01-17,2196750.096,2029590.473
2023-01-18,2066046.501,2042487.845
2023-01-19,2132650.193,2048539.24
2023-01-20,2073977.312,1930653.274
2023-01-21,1447086.614,1430853.301
2023-01-22,1316446.508,1261643.054
2023-01-23,1792702.742,1743168.859
2023-01-24,2021138.442,2041982.401
2023-01-25,2114003.066,1994709.358
2023-01-26,2006620.724,1882249.697
2023-01-27,1965823.509,1860322.429
2023-01-28,1430247.936,1376712.387
2023-01-29,1263485.902,1179114.19
2023-01-30,1794502.145,1761292.334
2023-01-31,2289647.323,2196991.358
2023-02-01,2100793.774,1932244.215
2023-02-02,2107424.296,1977254.471
2023-02-03,2027307.557,1907734.287
2023-02-04,1461239.767,1448560.502
2023-02-05,1255981.026,1207366.348
2023-02-06,1788106.502,1676373.042
2023-02-07,2172610.323,2088929.887
2023-02-08,2112333.232,2066819.146
2023-02-09,2072672.542,1986337.905
